service_id,date,exception_type
2110-2-1400032026-1UW#1UJ,20260326,2
2110-2-1400052026-1UW#1UJ,20260507,2
2110-2-1400052026-1UW#1UJ,20260514,2
2114-22-1800052026-VAN6#SEA6,20260505,2
2114-22-1800052026-VAN6#SEA6,20260506,2
2114-22-1800052026-VAN6#SEA6,20260507,2
2114-22-1800052026-VAN6#SEA6,20260512,2
2114-22-1800052026-VAN6#SEA6,20260513,2
2114-22-1800052026-VAN6#SEA6,20260514,2
2114-23-0000052026-SEA6#VAN6,20260506,2
2114-23-0000052026-SEA6#VAN6,20260507,2
2114-23-0000052026-SEA6#VAN6,20260508,2
2114-23-0000052026-SEA6#VAN6,20260513,2
2114-23-0000052026-SEA6#VAN6,20260514,2
2114-23-0000052026-SEA6#VAN6,20260515,2
2115-11-2200042026-PUT6#VAN6,20260407,2
2115-11-2200042026-PUT6#VAN6,20260408,2
2115-11-2200042026-PUT6#VAN6,20260414,2
2115-11-2200042026-PUT6#VAN6,20260415,2
2115-14-2130042026-VAN6#PUT6,20260408,2
2115-14-2130042026-VAN6#PUT6,20260409,2
2115-14-2130042026-VAN6#PUT6,20260415,2
2115-14-2130042026-VAN6#PUT6,20260416,2
2211-5-1440022026-2HU#NOD6,20260202,2
2211-5-1440022026-2HU#NOD6,20260203,2
2211-5-1440022026-2HU#NOD6,20260204,2
2211-5-1440022026-2HU#NOD6,20260209,2
2211-5-1440022026-2HU#NOD6,20260210,2
2211-5-1440022026-2HU#NOD6,20260211,2
2211-6-2240022026-NOD6#2HU,20260202,2
2211-6-2240022026-NOD6#2HU,20260203,2
2211-6-2240022026-NOD6#2HU,20260204,2
2211-6-2240022026-NOD6#2HU,20260209,2
2211-6-2240022026-NOD6#2HU,20260210,2
2211-6-2240022026-NOD6#2HU,20260211,2
2211-7-1310022026-2HU#NOD6,20260204,2
2211-7-1310022026-2HU#NOD6,20260205,2
2211-7-1310022026-2HU#NOD6,20260211,2
2211-7-1310022026-2HU#NOD6,20260212,2
2211-8-2040022026-NOD6#2HU,20260204,2
2211-8-2040022026-NOD6#2HU,20260205,2
2211-8-2040022026-NOD6#2HU,20260211,2
2211-8-2040022026-NOD6#2HU,20260212,2
2270-9320-1955022026-2HO#2SC,20260205,2
2270-9320-1955022026-2HO#2SC,20260212,2
2270-9320-1955022026-2HO#2SC,20260219,2
2270-9321-1420022026-2SC#2HO,20260205,2
2270-9321-1420022026-2SC#2HO,20260212,2
2270-9321-1420022026-2SC#2HO,20260219,2
2410-1-1400022026-MID6#TAL6,20260204,2
2410-2-1650022026-TAL6#MID6,20260205,2
2411-10-0930032026-ORL6#4DM,20260325,2
2411-10-0930032026-ORL6#4DM,20260326,2
2411-11-2205032026-4DM#ORL6,20260324,2
2411-11-2205032026-4DM#ORL6,20260326,2
2411-12-1515032026-ORL6#4DM,20260324,2
2411-12-1515032026-ORL6#4DM,20260326,2
2411-3-1535032026-4DM#ORL6,20260325,2
2411-3-1535032026-4DM#ORL6,20260326,2
2421-12-0835062026-4OF#4DM,20260623,2
2421-22-1110072026-4OF#MID6,20260709,2
2421-22-1110072026-4OF#MID6,20260712,2
2421-22-1110072026-4OF#MID6,20260716,2
2421-22-1110072026-4OF#MID6,20260719,2
2421-5-1800032026-4DM#4OF,20260324,2
2421-5-1800042026-4DM#4OF,20260411,2
2421-5-1800042026-4DM#4OF,20260416,2
2421-6-1620032026-4OF#4DM,20260325,2
2421-6-1720022026-4OF#4DM,20260206,2
2421-9-1430062026-MID6#4OF,20260609,2
2421-9-1430062026-MID6#4OF,20260614,2
2421-9-1530022026-MID6#4OF,20260209,2
2421-9-1530022026-MID6#4OF,20260215,2
2421-9-1530022026-MID6#4OF,20260216,2
2421-9-1530022026-MID6#4OF,20260220,2
2421-9-1530022026-MID6#4OF,20260222,2
2431-1-1435032026-4DM#JAX6,20260324,2
2431-1-1435032026-4DM#JAX6,20260325,2
2431-1-1535022026-4DM#JAX6,20260205,2
2431-13-0005022026-4DM#ORL6,20260206,2
2431-13-2305032026-4DM#ORL6,20260324,2
2431-13-2305032026-4DM#ORL6,20260325,2
2431-14-0830032026-ORL6#4DM,20260324,2
2431-14-0830032026-ORL6#4DM,20260325,2
2431-14-0930022026-ORL6#4DM,20260205,2
2431-21-0845032026-ORL6#JAX6,20260324,2
2431-21-0845032026-ORL6#JAX6,20260325,2
2431-21-0945022026-ORL6#JAX6,20260205,2
2431-2-1245032026-JAX6#4DM,20260324,2
2431-2-1245032026-JAX6#4DM,20260325,2
2431-2-1345022026-JAX6#4DM,20260205,2
2431-22-0110032026-JAX6#ORL6,20260325,2
2431-22-0110032026-JAX6#ORL6,20260326,2
2431-22-0210022026-JAX6#ORL6,20260206,2
2431-3-1200032026-MID6#JAX6,20260324,2
2431-3-1300022026-MID6#JAX6,20260202,2
2431-3-1300022026-MID6#JAX6,20260204,2
